 ORDEM 3.2.0 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr)
  Year: 2023  Perigee Altitude =    900.000  Apogee Altitude =   900.000  inc =   89.00
 *
 *
 *
 *
 *
 *
 *
  Size (m)   Flux       -Sigma     +Sigma
  1.29E-01   4.18E-06   7.84E-07   7.84E-07
  1.32E-01   4.08E-06   7.65E-07   7.64E-07
  1.35E-01   3.99E-06   7.46E-07   7.45E-07
  1.38E-01   3.89E-06   7.27E-07   7.26E-07
  1.41E-01   3.80E-06   7.09E-07   7.08E-07
  1.45E-01   3.71E-06   6.91E-07   6.91E-07
  1.48E-01   3.62E-06   6.74E-07   6.73E-07
  1.51E-01   3.53E-06   6.58E-07   6.57E-07
  1.55E-01   3.45E-06   6.41E-07   6.41E-07
  1.58E-01   3.37E-06   6.26E-07   6.25E-07
  1.62E-01   3.29E-06   6.10E-07   6.10E-07
  1.66E-01   3.21E-06   5.96E-07   5.95E-07
  1.70E-01   3.14E-06   5.81E-07   5.81E-07
  1.74E-01   3.06E-06   5.67E-07   5.67E-07
  1.78E-01   2.99E-06   5.54E-07   5.53E-07
  1.82E-01   2.92E-06   5.41E-07   5.40E-07
  1.86E-01   2.86E-06   5.28E-07   5.28E-07
  1.91E-01   2.79E-06   5.16E-07   5.15E-07
  1.95E-01   2.73E-06   5.04E-07   5.04E-07
  2.00E-01   2.67E-06   4.93E-07   4.92E-07
  2.04E-01   2.61E-06   4.82E-07   4.81E-07
  2.09E-01   2.55E-06   4.71E-07   4.71E-07
  2.14E-01   2.50E-06   4.61E-07   4.60E-07
  2.19E-01   2.45E-06   4.51E-07   4.51E-07
  2.24E-01   2.39E-06   4.42E-07   4.41E-07
  2.29E-01   2.34E-06   4.32E-07   4.32E-07
  2.34E-01   2.30E-06   4.24E-07   4.23E-07
  2.40E-01   2.25E-06   4.15E-07   4.15E-07
  2.45E-01   2.21E-06   4.07E-07   4.07E-07
  2.51E-01   2.16E-06   3.99E-07   3.99E-07
  2.57E-01   2.12E-06   3.92E-07   3.91E-07
  2.63E-01   2.08E-06   3.85E-07   3.84E-07
  2.69E-01   2.05E-06   3.78E-07   3.77E-07
  2.75E-01   2.01E-06   3.71E-07   3.71E-07
  2.82E-01   1.98E-06   3.65E-07   3.65E-07
  2.88E-01   1.94E-06   3.59E-07   3.59E-07
  2.95E-01   1.91E-06   3.54E-07   3.53E-07
  3.02E-01   1.88E-06   3.48E-07   3.48E-07
